"Plot Title: RLSM"
"#","Date Time, GMT-08:00","Temp, °F (LGR S/N: 10592079, SEN S/N: 10592079)","Event, units (LGR S/N: 10592079, SEN S/N: 10592079, LBL: RLSM)","Coupler Detached (LGR S/N: 10592079, SEN S/N: 10592079)","Coupler Attached (LGR S/N: 10592079, SEN S/N: 10592079)","Host Connected (LGR S/N: 10592079, SEN S/N: 10592079)","Stopped (LGR S/N: 10592079, SEN S/N: 10592079)","End Of File (LGR S/N: 10592079, SEN S/N: 10592079)"
310,11/21/18 01:56:06 PM,,1.43,,,,,
311,11/21/18 01:56:29 PM,,1.44,,,,,
312,11/21/18 01:57:09 PM,,1.45,,,,,
313,11/21/18 01:57:28 PM,,1.46,,,,,
314,11/21/18 01:58:13 PM,,1.47,,,,,
315,11/21/18 01:58:43 PM,,1.48,,,,,
316,11/21/18 02:00:47 PM,,1.49,,,,,
317,11/21/18 02:02:01 PM,,1.50,,,,,
318,11/21/18 02:03:51 PM,,1.51,,,,,
319,11/21/18 02:05:19 PM,,1.52,,,,,
320,11/21/18 02:06:51 PM,,1.53,,,,,
321,11/21/18 02:07:31 PM,55.364,,,,,,
322,11/21/18 02:07:54 PM,,1.54,,,,,
323,11/21/18 02:11:21 PM,,1.55,,,,,
324,11/21/18 02:17:47 PM,,1.56,,,,,
325,11/21/18 02:31:09 PM,,1.57,,,,,
326,11/21/18 03:07:31 PM,54.495,,,,,,
327,11/21/18 03:11:23 PM,,1.58,,,,,
328,11/21/18 04:07:31 PM,55.364,,,,,,
329,11/21/18 05:07:31 PM,55.017,,,,,,
330,11/21/18 05:10:05 PM,,1.59,,,,,
331,11/21/18 06:07:31 PM,54.495,,,,,,
332,11/21/18 07:07:31 PM,54.669,,,,,,
333,11/21/18 08:07:31 PM,54.842,,,,,,
334,11/21/18 09:07:31 PM,54.842,,,,,,
335,11/21/18 10:07:31 PM,54.322,,,,,,
336,11/21/18 11:07:31 PM,54.669,,,,,,
337,11/22/18 12:07:31 AM,54.322,,,,,,
338,11/22/18 01:07:31 AM,53.798,,,,,,
339,11/22/18 02:07:31 AM,53.623,,,,,,
340,11/22/18 03:07:31 AM,53.274,,,,,,
341,11/22/18 04:07:31 AM,52.401,,,,,,
342,11/22/18 05:07:31 AM,51.699,,,,,,
343,11/22/18 06:07:31 AM,49.759,,,,,,
344,11/22/18 07:07:31 AM,49.759,,,,,,
345,11/22/18 07:15:12 AM,,1.60,,,,,
346,11/22/18 07:28:03 AM,,1.61,,,,,
347,11/22/18 07:30:21 AM,,1.62,,,,,
348,11/22/18 08:07:31 AM,52.050,,,,,,
349,11/22/18 09:07:31 AM,54.669,,,,,,
350,11/22/18 10:07:31 AM,57.268,,,,,,
351,11/22/18 11:07:31 AM,58.993,,,,,,
