"Plot Title: UQC"
"#","Date Time, GMT-08:00","Event, inches (LGR S/N: 10592087, SEN S/N: 10592087)","Coupler Attached (LGR S/N: 10592087, SEN S/N: 10592087)","Stopped (LGR S/N: 10592087, SEN S/N: 10592087)","End Of File (LGR S/N: 10592087, SEN S/N: 10592087)"
403,12/03/14 12:45:40 AM,4.02,,,
404,12/03/14 12:46:14 AM,4.03,,,
405,12/03/14 12:46:36 AM,4.04,,,
406,12/03/14 12:46:56 AM,4.05,,,
407,12/03/14 12:47:48 AM,4.06,,,
408,12/03/14 12:48:23 AM,4.07,,,
409,12/03/14 12:48:54 AM,4.08,,,
410,12/03/14 12:54:06 AM,4.09,,,
411,12/03/14 12:58:34 AM,4.10,,,
412,12/03/14 12:59:16 AM,4.11,,,
413,12/03/14 01:00:22 AM,4.12,,,
414,12/03/14 01:01:46 AM,4.13,,,
415,12/03/14 01:03:45 AM,4.14,,,
416,12/03/14 01:04:46 AM,4.15,,,
417,12/03/14 01:04:47 AM,4.16,,,
418,12/03/14 01:05:23 AM,4.17,,,
419,12/03/14 01:06:24 AM,4.18,,,
420,12/03/14 01:08:50 AM,4.19,,,
421,12/03/14 01:19:59 AM,4.20,,,
422,12/03/14 01:21:49 AM,4.21,,,
423,12/03/14 01:22:59 AM,4.22,,,
424,12/03/14 01:27:32 AM,4.23,,,
425,12/03/14 01:28:01 AM,4.24,,,
426,12/03/14 01:28:56 AM,4.25,,,
427,12/03/14 01:32:05 AM,4.26,,,
428,12/03/14 01:32:54 AM,4.27,,,
429,12/03/14 01:33:21 AM,4.28,,,
430,12/03/14 01:33:54 AM,4.29,,,
431,12/03/14 01:34:23 AM,4.30,,,
432,12/03/14 01:34:56 AM,4.31,,,
433,12/03/14 01:35:17 AM,4.32,,,
434,12/03/14 01:39:00 AM,4.33,,,
435,12/03/14 02:05:10 AM,4.34,,,
436,12/03/14 02:12:17 AM,4.35,,,
437,12/03/14 02:30:08 AM,4.36,,,
438,12/03/14 02:30:27 AM,4.37,,,
439,12/03/14 02:30:42 AM,4.38,,,
440,12/03/14 02:30:56 AM,4.39,,,
441,12/03/14 02:31:13 AM,4.40,,,
442,12/03/14 02:31:44 AM,4.41,,,
443,12/03/14 02:36:24 AM,4.42,,,
444,12/03/14 02:46:26 AM,4.43,,,
445,12/03/14 02:50:56 AM,4.44,,,
446,12/03/14 02:51:42 AM,4.45,,,
447,12/03/14 02:52:42 AM,4.46,,,
448,12/03/14 03:42:53 AM,4.47,,,
449,12/03/14 03:47:49 AM,4.48,,,
450,12/03/14 03:49:38 AM,4.49,,,
451,12/03/14 03:50:58 AM,4.50,,,
452,12/03/14 03:51:52 AM,4.51,,,
453,12/03/14 03:52:17 AM,4.52,,,
454,12/03/14 03:52:39 AM,4.53,,,
455,12/03/14 03:53:23 AM,4.54,,,
456,12/03/14 04:36:30 AM,4.55,,,
457,12/03/14 04:37:20 AM,4.56,,,
458,12/03/14 04:38:07 AM,4.57,,,
459,12/03/14 04:38:36 AM,4.58,,,
460,12/03/14 04:39:13 AM,4.59,,,
461,12/03/14 04:40:38 AM,4.60,,,
462,12/03/14 04:41:12 AM,4.61,,,
463,12/03/14 04:42:44 AM,4.62,,,
464,12/03/14 04:50:41 AM,4.63,,,
465,12/03/14 04:52:10 AM,4.64,,,
466,12/03/14 04:54:12 AM,4.65,,,
467,12/03/14 04:54:55 AM,4.66,,,
468,12/03/14 04:55:21 AM,4.67,,,
469,12/03/14 04:55:36 AM,4.68,,,
470,12/03/14 04:55:48 AM,4.69,,,
471,12/03/14 04:55:58 AM,4.70,,,
472,12/03/14 04:56:08 AM,4.71,,,
473,12/03/14 04:56:14 AM,4.72,,,
474,12/03/14 04:56:22 AM,4.73,,,
475,12/03/14 04:56:28 AM,4.74,,,
476,12/03/14 04:56:34 AM,4.75,,,
477,12/03/14 04:56:41 AM,4.76,,,
478,12/03/14 04:56:46 AM,4.77,,,
479,12/03/14 04:56:52 AM,4.78,,,
480,12/03/14 05:02:28 AM,4.79,,,
481,12/03/14 05:52:14 AM,4.80,,,
482,12/03/14 05:58:06 AM,4.81,,,
483,12/03/14 05:59:07 AM,4.82,,,
484,12/03/14 06:12:55 AM,4.83,,,
485,12/03/14 06:41:37 AM,4.84,,,
486,12/03/14 07:19:59 AM,4.85,,,
487,12/03/14 07:20:18 AM,4.86,,,
488,12/03/14 07:20:36 AM,4.87,,,
489,12/03/14 07:26:43 AM,4.88,,,
490,12/03/14 07:36:28 AM,4.89,,,
491,12/03/14 08:06:18 AM,4.90,,,
492,12/03/14 08:08:55 AM,4.91,,,
493,12/03/14 09:25:11 AM,4.92,,,
494,12/03/14 10:07:03 AM,4.93,,,
495,12/03/14 10:10:53 AM,4.94,,,
496,12/03/14 10:14:20 AM,4.95,,,
497,12/03/14 10:17:12 AM,4.96,,,
498,12/03/14 10:17:13 AM,4.97,,,
499,12/03/14 10:18:39 AM,4.98,,,
500,12/03/14 10:19:02 AM,4.99,,,
501,12/03/14 10:19:23 AM,5.00,,,
502,12/03/14 10:19:40 AM,5.01,,,
503,12/03/14 10:19:56 AM,5.02,,,
504,12/03/14 10:20:09 AM,5.03,,,
505,12/03/14 10:20:10 AM,5.04,,,
506,12/03/14 10:20:36 AM,5.05,,,
507,12/03/14 10:21:25 AM,5.06,,,
508,12/03/14 10:22:05 AM,5.07,,,
509,12/03/14 10:23:53 AM,5.08,,,
510,12/03/14 10:26:22 AM,5.09,,,
511,12/03/14 10:28:41 AM,5.10,,,
512,12/03/14 10:30:15 AM,5.11,,,
513,12/03/14 10:31:53 AM,5.12,,,
514,12/03/14 10:31:54 AM,5.13,,,
515,12/03/14 10:34:27 AM,5.14,,,
516,12/03/14 10:38:39 AM,5.15,,,
517,12/03/14 10:40:28 AM,5.16,,,
518,12/03/14 10:43:35 AM,5.17,,,
519,12/03/14 10:52:04 AM,5.18,,,
520,12/03/14 10:53:47 AM,5.19,,,
521,12/03/14 10:57:53 AM,5.20,,,
522,12/03/14 11:08:14 AM,5.21,,,
523,12/03/14 11:08:56 AM,5.22,,,
524,12/03/14 11:09:43 AM,5.23,,,
525,12/03/14 11:10:50 AM,5.24,,,
526,12/03/14 11:12:01 AM,5.25,,,
527,12/03/14 11:12:28 AM,5.26,,,
528,12/03/14 11:12:46 AM,5.27,,,
529,12/03/14 11:13:08 AM,5.28,,,
530,12/03/14 11:13:39 AM,5.29,,,
531,12/03/14 11:14:22 AM,5.30,,,
532,12/03/14 11:15:34 AM,5.31,,,
533,12/03/14 11:16:13 AM,5.32,,,
534,12/03/14 11:16:57 AM,5.33,,,
535,12/03/14 11:17:58 AM,5.34,,,
536,12/03/14 11:18:51 AM,5.35,,,
537,12/03/14 11:19:25 AM,5.36,,,
538,12/03/14 11:19:50 AM,5.37,,,
539,12/03/14 11:20:02 AM,5.38,,,
540,12/03/14 11:20:10 AM,5.39,,,
541,12/03/14 11:20:20 AM,5.40,,,
542,12/03/14 11:21:25 AM,5.41,,,
543,12/03/14 11:22:07 AM,5.42,,,
544,12/03/14 11:23:27 AM,5.43,,,
545,12/03/14 12:53:28 PM,5.44,,,
