"Plot Title: UNF"
"#","Date Time, GMT-08:00","Temp, °F (LGR S/N: 9668993, SEN S/N: 9668993)","Event, inches (LGR S/N: 9668993, SEN S/N: 9668993)","Coupler Attached (LGR S/N: 9668993, SEN S/N: 9668993)","Coupler Detached (LGR S/N: 9668993, SEN S/N: 9668993)","Host Connected (LGR S/N: 9668993, SEN S/N: 9668993)","Stopped (LGR S/N: 9668993, SEN S/N: 9668993)","End Of File (LGR S/N: 9668993, SEN S/N: 9668993)"
420,03/06/19 11:09:46 AM,,2.29,,,,,
421,03/06/19 11:15:51 AM,,2.30,,,,,
422,03/06/19 11:23:53 AM,,2.31,,,,,
423,03/06/19 11:29:00 AM,,2.32,,,,,
424,03/06/19 11:30:00 AM,51.874,,,,,,
425,03/06/19 11:32:48 AM,,2.33,,,,,
426,03/06/19 12:00:00 PM,51.523,,,,,,
427,03/06/19 12:26:05 PM,,2.34,,,,,
428,03/06/19 12:30:00 PM,52.050,,,,,,
429,03/06/19 01:00:00 PM,52.750,,,,,,
430,03/06/19 01:30:00 PM,53.100,,,,,,
431,03/06/19 02:00:00 PM,58.647,,,,,,
432,03/06/19 02:30:00 PM,56.577,,,,,,
433,03/06/19 03:00:00 PM,54.495,,,,,,
434,03/06/19 03:30:00 PM,52.050,,,,,,
435,03/06/19 04:00:00 PM,51.172,,,,,,
436,03/06/19 04:30:00 PM,50.995,,,,,,
437,03/06/19 04:43:36 PM,,2.35,,,,,
438,03/06/19 04:54:58 PM,,2.36,,,,,
439,03/06/19 04:58:49 PM,,2.37,,,,,
440,03/06/19 05:00:00 PM,50.643,,,,,,
441,03/06/19 05:01:16 PM,,2.38,,,,,
442,03/06/19 05:02:59 PM,,2.39,,,,,
443,03/06/19 05:06:20 PM,,2.40,,,,,
444,03/06/19 05:07:39 PM,,2.41,,,,,
445,03/06/19 05:30:00 PM,50.466,,,,,,
446,03/06/19 05:35:31 PM,,2.42,,,,,
447,03/06/19 05:50:55 PM,,2.43,,,,,
448,03/06/19 05:51:46 PM,,2.44,,,,,
449,03/06/19 05:52:12 PM,,2.45,,,,,
450,03/06/19 05:52:53 PM,,2.46,,,,,
451,03/06/19 06:00:00 PM,50.290,,,,,,
452,03/06/19 06:03:49 PM,,2.47,,,,,
453,03/06/19 06:30:00 PM,49.937,,,,,,
454,03/06/19 06:51:11 PM,,2.48,,,,,
455,03/06/19 07:00:00 PM,49.759,,,,,,
456,03/06/19 07:30:00 PM,49.582,,,,,,
457,03/06/19 08:00:00 PM,49.582,,,,,,
458,03/06/19 08:03:16 PM,,2.49,,,,,
459,03/06/19 08:28:15 PM,,2.50,,,,,
460,03/06/19 08:30:00 PM,49.404,,,,,,
461,03/06/19 08:32:04 PM,,2.51,,,,,
462,03/06/19 08:44:43 PM,,2.52,,,,,
463,03/06/19 09:00:00 PM,49.228,,,,,,
